modality,pilot_n,rep,pi,scale,true_omega2,power,eval_n
gene,7,1,1.0,1.0,0.4080306585421853,1.0,80
gene,7,1,1.0,1.3,0.3974312728956736,1.0,80
gene,7,1,1.0,1.7,0.4445599241094694,1.0,80
gene,7,2,0.5,1.0,0.0,0.1,80
gene,7,2,0.6,1.0,0.0170038106099827,0.7,80
gene,7,2,0.68,1.0,0.0751173806661301,1.0,80
gene,7,2,0.75,1.0,0.0795962433065722,1.0,80
gene,7,2,0.82,1.0,0.1261320474497331,1.0,80
gene,7,2,0.88,1.0,0.3083215107427571,1.0,80
gene,7,2,0.93,1.0,0.3030115627299474,1.0,80
gene,7,2,0.97,1.0,0.3889618794525625,1.0,80
gene,7,2,1.0,1.0,0.4638035373767254,1.0,80
gene,7,2,1.0,1.3,0.4472123606868151,1.0,80
gene,7,2,1.0,1.7,0.4634331293759788,1.0,80
gene,7,3,0.5,1.0,0.0,0.025,80
gene,7,3,0.6,1.0,0.0098287979041238,0.55,80
gene,7,3,0.68,1.0,0.0658490402469263,1.0,80
gene,7,3,0.75,1.0,0.0756815359114005,1.0,80
gene,7,3,0.82,1.0,0.1097162762761769,1.0,80
gene,7,3,0.88,1.0,0.2738985355969705,1.0,80
gene,7,3,0.93,1.0,0.2519423666368328,1.0,80
gene,7,3,0.97,1.0,0.369510959413415,1.0,80
gene,7,3,1.0,1.0,0.3964558015909655,1.0,80
gene,7,3,1.0,1.3,0.4156323017910324,1.0,80
gene,7,3,1.0,1.7,0.4493780882305916,1.0,80
gene,7,4,0.5,1.0,0.0,0.1,80
gene,7,4,0.6,1.0,0.0173082652969477,0.7,80
gene,7,4,0.68,1.0,0.0642813172779221,1.0,80
gene,7,4,0.75,1.0,0.0790643037221155,1.0,80
gene,7,4,0.82,1.0,0.1310859143726019,1.0,80
gene,7,4,0.88,1.0,0.2288774712786621,1.0,80
gene,7,4,0.93,1.0,0.2420056063740858,1.0,80
gene,7,4,0.97,1.0,0.2669569185214874,1.0,80
gene,7,4,1.0,1.0,0.396683892919617,1.0,80
gene,7,4,1.0,1.3,0.417560580159417,1.0,80
gene,7,4,1.0,1.7,0.42526027194178,1.0,80
gene,7,5,0.5,1.0,0.0,0.05,80
gene,7,5,0.6,1.0,0.0127171287768621,0.65,80
