workflow,pilot_n,pilot_source,eval_n,effect_parameter,true_omega2,power,pool_size_per_group,scenario_index,strength,mode,failed_bootstraps
protein,17,real,17,strength=0.354,0.0271778991841627,0.48,180,9,0.354,labeled_bootstrap,0.0
protein,17,real,17,strength=0.379,0.0315156886478288,0.5,180,10,0.3788,labeled_bootstrap,0.0
protein,17,real,17,strength=0.404,0.0420785177580118,0.65,180,11,0.4037,labeled_bootstrap,0.0
protein,17,real,17,strength=0.429,0.0378241448767896,0.66,180,12,0.4286,labeled_bootstrap,0.0
protein,17,real,17,strength=0.571,0.0626736022176672,0.84,180,13,0.5714,labeled_bootstrap,0.0
protein,17,real,17,strength=0.714,0.109731677034879,0.98,180,14,0.7143,labeled_bootstrap,0.0
protein,17,real,17,strength=0.857,0.1599241206927219,1.0,180,15,0.8571,labeled_bootstrap,0.0
protein,17,real,17,strength=1,0.2221222427343376,1.0,180,16,1.0,labeled_bootstrap,0.0
protein,17,real,80,strength=0,0.0,0.04,180,0,0.0,exchangeable_null,0.0
protein,17,real,80,strength=0.101,0.0,0.32,180,1,0.1014,labeled_bootstrap,0.0
protein,17,real,80,strength=0.223,0.0128859653973091,0.88,180,2,0.2229,labeled_bootstrap,0.0
protein,17,real,80,strength=0.242,0.0111880765671669,0.9,180,3,0.2422,labeled_bootstrap,0.0
protein,17,real,80,strength=0.262,0.0169465305804174,0.98,180,4,0.2615,labeled_bootstrap,0.0
protein,17,real,80,strength=0.281,0.0183255261946874,1.0,180,5,0.2808,labeled_bootstrap,0.0
protein,17,real,80,strength=0.304,0.0160047307556496,0.98,180,6,0.3042,labeled_bootstrap,0.0
protein,17,real,80,strength=0.326,0.0267599735711273,0.99,180,7,0.3257,labeled_bootstrap,0.0
protein,17,real,80,strength=0.329,0.0153843296265158,0.98,180,8,0.3291,labeled_bootstrap,0.0
protein,17,real,80,strength=0.354,0.0271778991841627,1.0,180,9,0.354,labeled_bootstrap,0.0
protein,17,real,80,strength=0.379,0.0315156886478288,1.0,180,10,0.3788,labeled_bootstrap,0.0
protein,17,real,80,strength=0.404,0.0420785177580118,1.0,180,11,0.4037,labeled_bootstrap,0.0
protein,17,real,80,strength=0.429,0.0378241448767896,1.0,180,12,0.4286,labeled_bootstrap,0.0
protein,17,real,80,strength=0.571,0.0626736022176672,1.0,180,13,0.5714,labeled_bootstrap,0.0
protein,17,real,80,strength=0.714,0.109731677034879,1.0,180,14,0.7143,labeled_bootstrap,0.0
protein,17,real,80,strength=0.857,0.1599241206927219,1.0,180,15,0.8571,labeled_bootstrap,0.0
protein,17,real,80,strength=1,0.2221222427343376,1.0,180,16,1.0,labeled_bootstrap,0.0
