modality,split,metric,value
protein,73,source_r2,0.017674716740095794
protein,74,abundance,0.09673278130817126
protein,74,prevalence,0.2901983439245138
protein,74,distance,0.1622222222222222
protein,74,dispersion,0.21804511278195488
protein,74,omega2,0.023903297999324658
protein,74,deff,0.4189112538684799
protein,74,tf_topology,0.34569394378683255
protein,74,source_r2,0.015292412910342631
protein,75,abundance,0.18999935811027668
protein,75,prevalence,0.188651389691251
protein,75,distance,0.3333333333333333
protein,75,dispersion,0.39348370927318294
protein,75,omega2,1.0815834918035736
protein,75,deff,0.3458483057203264
protein,75,tf_topology,0.5796432040207012
protein,75,source_r2,0.026652248812306524
protein,76,abundance,0.1096347647474164
protein,76,prevalence,0.2626612747929906
protein,76,distance,0.24074074074074073
protein,76,dispersion,0.19298245614035087
protein,76,omega2,0.15829858254244747
protein,76,deff,0.34654092132253483
protein,76,tf_topology,0.16791979949874686
protein,76,source_r2,0.009916920501137284
protein,77,abundance,0.04936131972527125
protein,77,prevalence,0.18435072854483603
protein,77,distance,0.27555555555555555
protein,77,dispersion,0.23809523809523808
protein,77,omega2,0.7029346565469811
protein,77,deff,0.07516245893521481
protein,77,tf_topology,0.14536340852130325
protein,77,source_r2,0.009986504305171034
protein,78,abundance,0.05898966557545415
protein,78,prevalence,0.1767764298093587
protein,78,distance,0.2679012345679012
protein,78,dispersion,0.39849624060150374
protein,78,omega2,0.9450697070582793
protein,78,deff,0.11187668397899106
protein,78,tf_topology,0.20300751879699247
