modality,split,metric,value
protein,83,omega2,1.0044636913453573
protein,83,deff,0.09278844842843245
protein,83,tf_topology,0.35164792492652563
protein,83,source_r2,0.017773821022028097
protein,84,abundance,0.03598002242381001
protein,84,prevalence,0.35103455305269593
protein,84,distance,0.38333333333333336
protein,84,dispersion,0.38390092879256965
protein,84,omega2,37.776584367309134
protein,84,deff,0.23276031959085386
protein,84,tf_topology,0.2631578947368421
protein,84,source_r2,0.02234181503335279
protein,85,abundance,0.025481602283151564
protein,85,prevalence,0.3148506778106207
protein,85,distance,0.3138888888888889
protein,85,dispersion,0.4179566563467492
protein,85,omega2,39.86313713864835
protein,85,deff,0.19017760421723925
protein,85,tf_topology,0.29152675856425203
protein,85,source_r2,0.03679341596692925
protein,86,abundance,0.10314952604219753
protein,86,prevalence,0.2809091835694629
protein,86,distance,0.1638888888888889
protein,86,dispersion,0.44272445820433437
protein,86,omega2,4.397320828728001
protein,86,deff,0.006215194926232823
protein,86,tf_topology,0.1238390092879257
protein,86,source_r2,0.016582629430378637
protein,87,abundance,0.08245846498827847
protein,87,prevalence,0.3159718683110794
protein,87,distance,0.3304398148148148
protein,87,dispersion,0.35294117647058826
protein,87,omega2,0.14965013544000924
protein,87,deff,0.8091093031035648
protein,87,tf_topology,0.3126934984520124
protein,87,source_r2,0.03717623858163693
protein,88,abundance,0.12108857404953624
protein,88,prevalence,0.23728468046070736
protein,88,distance,0.48055555555555557
protein,88,dispersion,0.43034055727554177
protein,88,omega2,39.86313713864835
protein,88,deff,0.7453682774462081
protein,88,tf_topology,0.44904605502163153
protein,88,source_r2,0.04407135319951123
protein,89,abundance,0.1710325145245133
protein,89,prevalence,0.46478442564468453
protein,89,distance,0.3088348765432099
protein,89,dispersion,0.34365325077399383
protein,89,omega2,1.760894794828488
protein,89,deff,0.4047160052573636
protein,89,tf_topology,0.7704048280030228
protein,89,source_r2,0.07449001086629167
protein,90,abundance,0.28203037406992154
protein,90,prevalence,0.5235959637141984
protein,90,distance,0.21388888888888888
protein,90,dispersion,0.30959752321981426
protein,90,omega2,36.47369846889009
protein,90,deff,0.5466994710103085
protein,90,tf_topology,0.6987593434153776
protein,90,source_r2,0.043513267953635554
protein,91,abundance,0.2785648761594129
protein,91,prevalence,0.27469167261237387
protein,91,distance,0.275
protein,91,dispersion,0.48297213622291024
protein,91,omega2,39.86313713864835
protein,91,deff,0.11202973079969347
protein,91,tf_topology,0.6734928485944023
protein,91,source_r2,0.03879510347902428
protein,92,abundance,0.1321985526449903
protein,92,prevalence,0.4057690347569055
protein,92,distance,0.21412037037037038
protein,92,dispersion,0.33746130030959753
protein,92,omega2,39.86313713864835
protein,92,deff,0.16851647025250258
protein,92,tf_topology,0.25386996904024767
protein,92,source_r2,0.014882441328995463
protein,93,abundance,0.09713586790337377
protein,93,prevalence,0.3030272143512384
protein,93,distance,0.20833333333333334
protein,93,dispersion,0.44272445820433437
protein,93,omega2,2.3816355359555224
protein,93,deff,0.18449979100443306
protein,93,tf_topology,0.1609907120743034
protein,93,source_r2,0.01039321826825243
protein,94,abundance,0.14147385587605749
protein,94,prevalence,0.3945571297523188
protein,94,distance,0.16415895061728394
protein,94,dispersion,0.24148606811145512
protein,94,omega2,0.7106775694667472
protein,94,deff,0.11705438208825009
protein,94,tf_topology,0.30030959752321984
protein,94,source_r2,0.027360172762368143
protein,95,abundance,0.10732850881663439
protein,95,prevalence,0.4154520436245031
protein,95,distance,0.2361111111111111
protein,95,dispersion,0.5139318885448917
protein,95,omega2,36.62821189178155
