modality,kind,distance
protein,within_syn,1.1757188369885088
protein,within_syn,1.480636447677785
protein,within_syn,1.68701480604252
protein,within_syn,1.2747291129619653
protein,within_syn,1.1386137384996566
protein,within_syn,1.2639456004141305
protein,within_syn,1.7079557387019821
protein,within_syn,1.480636447677785
protein,within_syn,1.2160748426957002
protein,within_syn,0.0
protein,within_syn,1.5988699310832792
protein,within_syn,1.5178024857538202
protein,within_syn,1.7014522279960067
protein,within_syn,1.68701480604252
protein,within_syn,1.1757188369885088
protein,within_syn,1.7492924407143005
protein,within_syn,1.7739090425160955
protein,within_syn,1.7350103188542922
protein,within_syn,1.289551669611746
protein,within_syn,1.9409106342359104
protein,within_syn,1.1502128914412295
protein,within_syn,1.66353805581353
protein,within_syn,1.2639456004141305
protein,within_syn,1.5178024857538202
protein,within_syn,1.7739090425160955
protein,within_syn,1.7350103188542922
